cardId,timestamp
4,2025-09-23T18:40:59.549Z
5,2025-09-23T18:41:19.243Z
12,2025-09-23T18:41:46.372Z
13,2025-09-23T18:41:50.894Z
16,2025-09-23T18:42:03.294Z
20,2025-09-23T18:42:18.796Z
28,2025-09-23T18:43:02.823Z
30,2025-09-23T18:43:17.030Z
31,2025-09-23T18:43:22.451Z
32,2025-09-23T18:43:28.297Z
33,2025-09-23T18:43:32.741Z
37,2025-09-23T18:43:49.463Z
38,2025-09-23T18:44:01.124Z
40,2025-09-23T18:44:13.165Z
48,2025-09-23T18:44:54.217Z
55,2025-09-23T18:45:46.890Z
63,2025-09-23T18:46:02.558Z
70,2025-09-23T18:46:36.598Z
74,2025-09-23T18:46:56.587Z
291,2025-09-23T19:07:21.464Z
